,return,iv,ive,rv,realiv
2022-04-29,,33.3936,30.2551,35.46,31.82345944558996
2022-05-30,,30.2551,31.6493,42.32,28.512648528944283
2022-06-28,,31.6493,33.0595,50.67,29.98796826420737
2022-07-27,,33.0595,32.1221,29.11,31.72203209674421
2022-08-25,,32.1221,35.5964,30.35,30.743878878678764
2022-09-23,,35.5964,37.7749,42.29,34.357829865357765
2022-10-24,,37.7749,31.96,46.21,36.610105846704
2022-11-22,,31.96,31.3828,21.61,31.32377213382594
2022-12-21,,31.3828,28.4311,22.83,30.734626019066027
2023-01-19,,28.4311,24.6249,13.02,27.713977482524054
2023-02-17,,24.6249,43.5309,44.51,23.842644625313127
2023-03-20,,43.5309,35.1898,57.62,43.09321591073208
2023-04-18,,35.1898,32.766,30.45,34.646905009812535
2023-05-17,,32.766,29.6537,23.7,32.264052345918735
2023-06-15,,29.6537,27.4264,23.02,29.09811405349468
2023-07-14,,27.4264,27.2841,25.53,26.82472245411282
2023-08-14,,27.2841,26.9814,25.09,26.679213455238603
2023-09-12,,26.9814,28.5529,20.51,26.026195397190573
2023-10-11,,28.5529,26.9725,23.31,27.652034270605547
2023-11-09,,26.9725,24.9671,28.78,25.27561355097097
2023-12-08,,24.9671,28.0212,28.01,23.12351544506214
2024-01-08,,28.0212,26.0413,26.09,26.391827022167817
2024-02-06,,26.0413,26.0719,26.2,24.279419058495357
2024-03-06,,26.0719,25.6921,22.81,23.8863909007923
2024-04-04,,25.6921,26.8647,26.06,23.47125269484893
2024-05-03,,26.8647,25.9191,33.41,24.749299116246767
2024-06-03,,25.9191,28.2359,22.58,23.83747072700965
2024-07-02,,28.2359,26.5057,15.75,26.338020325397316
2024-07-31,,26.5057,24.7347,29.99,24.474014757310293
