,return,iv,ive,rv
2022-01-19,,28.0888,27.9999,31.43
2022-02-17,,27.9999,30.6445,35.8
2022-03-18,,30.6445,29.7808,25.09
2022-04-18,,29.7808,31.9493,29.5
2022-05-17,,31.9493,30.823,26.17
2022-06-15,,30.823,27.6291,24.12
2022-07-14,,27.6291,26.5484,20.68
2022-08-12,,26.5484,27.9247,21.91
2022-09-12,,27.9247,31.9067,29.69
2022-10-11,,31.9067,30.3223,50.32
2022-11-09,,30.3223,28.7863,28.77
2022-12-08,,28.7863,28.7498,21.23
2023-01-06,,28.7498,24.3086,25.96
2023-02-06,,24.3086,24.7242,15.49
2023-03-07,,24.7242,46.5346,84.14
2023-04-05,,46.5346,55.3378,55.5
2023-05-04,,55.3378,41.6752,57.45
2023-06-02,,41.6752,39.9953,49.25
2023-07-03,,39.9953,34.4597,42.09
2023-08-01,,34.4597,36.0927,24.06
2023-08-30,,36.0927,36.2472,25.25
2023-09-28,,36.2472,40.394,31.37
2023-10-27,,40.394,35.7198,41.47
2023-11-27,,35.7198,32.9915,35.38
2023-12-26,,32.9915,30.0342,21.38
2024-01-24,,30.0342,34.1007,28.35
2024-02-22,,34.1007,32.3648,25.8
2024-03-22,,32.3648,32.422,28.12
2024-04-22,,32.422,28.2883,31.82
2024-05-21,,28.2883,30.2407,22.8
2024-06-19,,30.2407,31.591,33.88
2024-07-18,,31.591,28.2388,34.33
