,return,iv,ive,rv,realiv
2022-04-29,,28.365,27.9147,26.29,27.544550320038383
2022-05-30,,27.9147,27.8137,30.66,27.080611208448136
2022-06-28,,27.8137,26.1089,28.93,26.976488559913182
2022-07-27,,26.1089,25.0574,13.61,25.315257588243465
2022-08-25,,25.0574,28.5749,21.76,24.229339700229524
2022-09-23,,28.5749,26.7457,21.26,27.85161606727908
2022-10-24,,26.7457,24.8907,26.72,25.876101628067406
2022-11-22,,24.8907,25.2058,21.7,23.953853833278533
2022-12-21,,25.2058,24.2389,20.9,24.28111448463749
2023-01-19,,24.2389,22.1541,25.14,23.516996090746197
2023-02-17,,22.1541,23.3205,16.87,21.361858035577608
2023-03-20,,23.3205,21.2471,26.18,22.569239069409758
2023-04-18,,21.2471,22.1343,18.97,20.512843818784532
2023-05-17,,22.1343,21.7435,28.02,21.43046288846433
2023-06-15,,21.7435,20.4621,38.44,21.026585442573573
2023-07-14,,20.4621,21.059,15.11,19.698605014920396
2023-08-14,,21.059,21.231,16.26,20.19676797712557
2023-09-12,,21.231,21.6207,17.71,20.37604762268299
2023-10-11,,21.6207,20.9261,14.28,20.781785876383317
2023-11-09,,20.9261,19.5096,14.06,20.21634668272504
2023-12-08,,19.5096,19.7282,16.57,18.746293077462745
2024-01-08,,19.7282,19.4812,25.45,18.97368934145723
2024-02-06,,19.4812,22.0609,18.5,18.71020016316253
2024-03-06,,22.0609,22.4983,26.93,21.38311823648756
2024-04-04,,22.4983,21.0612,28.09,21.83410038438971
2024-05-03,,21.0612,21.7347,21.04,19.935847229091245
2024-06-03,,21.7347,23.4198,24.21,20.64609026890237
2024-07-02,,23.4198,23.4169,31.02,22.41318565803766
2024-07-31,,23.4169,23.4058,18.78,22.273348769296074
