,return,iv,ive,rv,realiv
2022-04-29,,43.3602,40.5371,41.14,42.601588990148855
2022-05-30,,40.5371,45.928,47.06,39.72461348906459
2022-06-28,,45.928,42.7198,46.52,45.2124941188337
2022-07-27,,42.7198,43.1586,40.75,41.94960968216
2022-08-25,,43.1586,45.6339,50.55,42.731525267776654
2022-09-23,,45.6339,44.6718,49.02,45.2302037024004
2022-10-24,,44.6718,43.8026,65.28,44.25932910687457
2022-11-22,,43.8026,43.0662,35.59,43.21405375761906
2022-12-21,,43.0662,36.3427,27.68,42.46744939181526
2023-01-19,,36.3427,35.8265,27.18,35.63114534640151
2023-02-17,,35.8265,34.1969,32.45,35.28961115865129
2023-03-20,,34.1969,35.7868,33.87,33.6340084302898
2023-04-18,,35.7868,36.3788,39.07,35.24930648564317
2023-05-17,,36.3788,35.4808,34.9,35.89380108815725
2023-06-15,,35.4808,34.6867,32.39,34.98335369509617
2023-07-14,,34.6867,35.309,37.12,34.1776977575465
2023-08-14,,35.309,32.5445,40.89,34.60979006086085
2023-09-12,,32.5445,35.3949,31.57,31.784533460582093
2023-10-11,,35.3949,30.9349,32.43,34.69742112991775
2023-11-09,,30.9349,33.1321,32.47,30.234222998320828
2023-12-08,,33.1321,30.9536,19.28,32.47885855001977
2024-01-08,,30.9536,30.7444,27.99,30.253356099153564
2024-02-06,,30.7444,32.4755,25.16,30.039279845931592
2024-03-06,,32.4755,31.4545,20.87,31.755185398677387
2024-04-04,,31.4545,29.952,32.93,30.710246982145453
2024-05-03,,29.952,29.5986,18.07,29.25948018310613
2024-06-03,,29.5986,29.7088,20.12,28.89761233295201
2024-07-02,,29.7088,28.5645,23.32,29.01047524646193
2024-07-31,,28.5645,30.6548,26.01,27.679867863026328
