,return,iv,ive,rv,realiv
2022-04-29,,37.3472,35.7209,47.47,35.28021579513914
2022-05-30,,35.7209,35.8855,36.2,32.5270075367892
2022-06-28,,35.8855,34.7964,33.84,32.70768461292149
2022-07-27,,34.7964,35.3753,42.41,31.50893485105996
2022-08-25,,35.3753,42.929,46.22,32.58924307492835
2022-09-23,,42.929,48.181,50.5,40.66381628803137
2022-10-24,,48.181,41.2935,66.86,46.17418840766738
2022-11-22,,41.2935,45.077,53.79,38.571755728980754
2022-12-21,,45.077,42.4677,46.95,42.59768921862029
2023-01-19,,42.4677,42.4663,48.3,39.82628203907765
2023-02-17,,42.4663,48.0709,45.5,39.50453637400908
2023-03-20,,48.0709,43.8839,33.6,45.47563287350059
2023-04-18,,43.8839,49.3046,41.59,41.02460770861077
2023-05-17,,49.3046,47.797,53.58,46.77782957337168
2023-06-15,,47.797,43.8167,30.24,44.88404443179402
2023-07-14,,43.8167,44.8792,38.83,40.61929879312616
2023-08-14,,44.8792,44.6903,47.14,40.95665130504254
2023-09-12,,44.6903,48.7959,42.97,40.7495718698104
2023-10-11,,48.7959,50.8144,100.29,45.21442856315718
2023-11-09,,50.8144,52.1201,71.95,47.20916090808221
2023-12-08,,52.1201,52.7339,61.89,48.6117933252333
2024-01-08,,52.7339,54.1801,39.92,49.2693194137609
2024-02-06,,54.1801,52.4584,68.22,50.81421909559565
2024-03-06,,52.4584,53.5238,44.59,48.57648752539578
2024-04-04,,53.5238,53.9787,44.97,49.72513022793337
2024-05-03,,53.9787,52.8926,41.48,50.21445472605407
2024-06-03,,52.8926,50.2429,40.83,48.67730944321757
2024-07-02,,50.2429,50.9837,59.94,45.78430211634506
2024-07-31,,50.9837,48.8414,53.24,46.59604044938538
