,return,iv,ive,rv,realiv
2022-03-02,,64.0369,66.4645,132.81,60.739581269968745
2022-03-31,,66.4645,70.0035,54.86,63.29377482415738
2022-04-29,,70.0035,65.3578,82.49,67.00046405429696
2022-05-30,,65.3578,65.3406,64.87,62.34554388004906
2022-06-28,,65.3406,60.982,46.1,62.327512618578986
2022-07-27,,60.982,56.6338,52.49,57.74191843764046
2022-08-25,,56.6338,61.998,77.96,53.20890464711122
2022-09-23,,61.998,66.3965,66.04,58.88592561304758
2022-10-24,,66.3965,59.8802,70.71,63.5003578222625
2022-11-22,,59.8802,56.2412,55.33,56.65190714658575
2022-12-21,,56.2412,52.6852,44.72,53.18964128846824
2023-01-19,,52.6852,50.5728,39.69,49.41452885534704
2023-02-17,,50.5728,50.2707,42.55,47.15584229759792
2023-03-20,,50.2707,46.0483,31.89,47.39775697954887
2023-04-18,,46.0483,52.3809,47.4,42.89347294277269
2023-05-17,,52.3809,46.3811,53.7,49.63026065831584
2023-06-15,,46.3811,44.676,39.47,42.850366392111496
2023-07-14,,44.676,47.6228,46.35,40.99868825618935
2023-08-14,,47.6228,43.5274,48.27,44.1913853886501
2023-09-12,,43.5274,45.2952,28.83,39.95097169847848
2023-10-11,,45.2952,40.9441,36.79,41.87004575985831
2023-11-09,,40.9441,39.0951,44.28,37.11960282253339
2023-12-08,,39.0951,42.7761,36.82,34.98347710808189
2024-01-08,,42.7761,44.2362,46.31,39.05395700529832
2024-02-06,,44.2362,46.3809,59.62,40.64797924868701
2024-03-06,,46.3809,43.1391,39.41,42.991935645795046
2024-04-04,,43.1391,45.7155,41.2,39.4727829595556
2024-05-03,,45.7155,41.4648,35.99,42.27322540346529
2024-06-03,,41.4648,41.1405,35.53,38.40351093510762
2024-07-02,,41.1405,42.5712,33.5,38.05313066428216
2024-07-31,,42.5712,39.0633,81.53,39.59554372076397
