,return,iv,ive,rv,realiv
2022-04-29,,32.7173,32.0758,35.83,31.215272852723547
2022-05-30,,32.0758,34.289,40.23,30.542241005204243
2022-06-28,,34.289,33.323,30.29,32.85889622278843
2022-07-27,,33.323,29.7014,23.76,31.849550530266196
2022-08-25,,29.7014,33.4321,31.87,28.098064373912795
2022-09-23,,33.4321,35.8012,33.12,32.016142334930784
2022-10-24,,35.8012,29.1063,28.0,34.4826620352975
2022-11-22,,29.1063,29.298,23.72,27.16017075522136
2022-12-21,,29.298,28.0249,17.35,27.365507116857557
2023-01-19,,28.0249,24.3038,17.39,25.99794599141981
2023-02-17,,24.3038,28.0539,29.18,22.601417175966937
2023-03-20,,28.0539,26.66,23.85,26.59268074361991
2023-04-18,,26.66,25.4827,20.58,25.117821639666392
2023-05-17,,25.4827,23.1746,25.88,24.00778084049134
2023-06-15,,23.1746,23.8296,17.93,21.542228917989497
2023-07-14,,23.8296,21.4386,17.23,22.245345080601982
2023-08-14,,21.4386,21.5339,17.87,20.0760370711907
2023-09-12,,21.5339,23.8879,18.34,20.17777350784331
2023-10-11,,23.8879,22.5357,28.2,22.673011730553647
2023-11-09,,22.5357,21.8042,17.17,21.230026093495614
2023-12-08,,21.8042,20.6576,13.89,20.4518794021602
2024-01-08,,20.6576,20.2115,12.33,19.224793138041942
2024-02-06,,20.2115,19.7702,11.96,18.74462498132477
2024-03-06,,19.7702,21.1254,14.02,18.24276157848551
2024-04-04,,21.1254,18.9289,35.99,19.70330091962936
2024-05-03,,18.9289,22.2921,16.9,17.388340582455825
2024-06-03,,22.2921,21.9396,15.74,20.99973465097786
2024-07-02,,21.9396,21.6135,29.45,20.62515893663562
2024-07-31,,21.6135,21.8047,19.94,19.916915752211537
