,return,iv,ive,rv,realiv
2022-02-01,,42.7094,45.9645,40.58,39.89608551540762
2022-03-02,,45.9645,42.3535,46.72,43.36288794975165
2022-03-31,,42.3535,45.6637,34.71,39.51485484400413
2022-04-29,,45.6637,45.648,65.57,43.09025096170341
2022-05-30,,45.648,46.4892,49.42,43.07361296957317
2022-06-28,,46.4892,45.7762,38.38,43.96409838598514
2022-07-27,,45.7762,41.39,37.6,43.20945170553061
2022-08-25,,41.39,49.5701,49.97,38.47106309885008
2022-09-23,,49.5701,53.1932,44.86,47.16021002885487
2022-10-24,,53.1932,46.2117,62.18,50.95495189081924
2022-11-22,,46.2117,47.9735,46.22,43.36496302962991
2022-12-21,,47.9735,43.8767,42.8,45.2377663454018
2023-01-19,,43.8767,40.6212,45.65,40.86763517211594
2023-02-17,,40.6212,43.6662,28.66,37.95613327657887
2023-03-20,,43.6662,42.6343,43.57,41.1985823337335
2023-04-18,,42.6343,40.3114,48.95,40.103238028361474
2023-05-17,,40.3114,39.6026,33.44,37.59857344732502
2023-06-15,,39.6026,36.7052,22.91,36.8376123286227
2023-07-14,,36.7052,35.1894,30.14,33.70334497277525
2023-08-14,,35.1894,37.3142,38.74,32.27329284007501
2023-09-12,,37.3142,37.577,26.31,34.577754120550345
2023-10-11,,37.577,37.365,52.78,34.861188840618105
2023-11-09,,37.365,34.5813,21.45,34.95435137792633
2023-12-08,,34.5813,35.3559,29.73,31.96137927157619
2024-01-08,,35.3559,34.303,35.0,32.79791334919861
2024-02-06,,34.303,40.4167,40.02,31.511364543339145
2024-03-06,,40.4167,41.5112,37.6,38.0759756969301
2024-04-04,,41.5112,38.0694,32.77,39.23582561668879
2024-05-03,,38.0694,38.4665,27.56,35.67932919753286
2024-06-03,,38.4665,39.333,33.43,36.10272756836969
2024-07-02,,39.333,42.9825,54.26,37.02458918915807
2024-07-31,,42.9825,40.2764,48.52,40.88068763947007
