,return,iv,ive,rv,realiv
2022-02-01,,20.33,20.951,19.18,20.29459256865072
2022-03-02,,20.951,18.3881,17.9,20.926502091443066
2022-03-31,,18.3881,22.0136,18.05,18.360182744002604
2022-04-29,,22.0136,22.2208,20.36,21.99028589498488
2022-05-30,,22.2208,22.3191,29.26,22.09346023407385
2022-06-28,,22.3191,23.151,24.15,22.192324287568496
2022-07-27,,23.151,20.2189,12.85,23.0288044299873
2022-08-25,,20.2189,24.1218,23.32,19.91161653147846
2022-09-23,,24.1218,28.9545,37.15,23.864823295525284
2022-10-24,,28.9545,23.2239,27.41,28.74076592466955
2022-11-22,,23.2239,22.1251,19.89,22.75051613752089
2022-12-21,,22.1251,20.6824,21.2,21.627679101641917
2023-01-19,,20.6824,18.7457,16.45,20.149395104409425
2023-02-17,,18.7457,21.605,23.9,18.114555801906597
2023-03-20,,21.605,20.8307,22.48,21.059721945229665
2023-04-18,,20.8307,20.6543,17.41,20.26459784699385
2023-05-17,,20.6543,20.7122,14.85,20.40373389606221
2023-06-15,,20.7122,17.2656,16.44,20.46234290718729
2023-07-14,,17.2656,20.0173,15.83,16.965057965457056
2023-08-14,,20.0173,20.1956,15.35,19.85131637386589
2023-09-12,,20.1956,22.3833,25.47,20.03109387540571
2023-10-11,,22.3833,21.4976,19.03,22.234985526762014
2023-11-09,,21.4976,19.124,17.02,21.36647812593832
2023-12-08,,19.124,18.7862,25.43,18.976484335782555
2024-01-08,,18.7862,20.0048,21.55,18.63601062959025
2024-02-06,,20.0048,20.0505,19.53,19.76952264968317
2024-03-06,,20.0505,19.5644,16.34,19.815765264211628
2024-04-04,,19.5644,18.2443,18.22,19.32376128284388
2024-05-03,,18.2443,17.3138,17.43,17.88624301537017
2024-06-03,,17.3138,17.2906,13.82,16.936082107585513
2024-07-02,,17.2906,17.2364,17.65,16.912363970624515
2024-07-31,,17.2364,17.5744,18.01,16.856947875427455
