,return,iv,ive,rv,realiv
2022-03-02,,66.0927,58.2267,69.59,61.76447272488879
2022-03-31,,58.2267,68.7895,72.68,53.26306122054507
2022-04-29,,68.7895,71.2369,102.85,64.642094705722
2022-05-30,,71.2369,72.1663,81.23,66.25360809750529
2022-06-28,,72.1663,70.1979,68.09,67.25191090235147
2022-07-27,,70.1979,59.3586,61.3,65.13516583795437
2022-08-25,,59.3586,61.9776,77.12,52.41059660502325
2022-09-23,,61.9776,66.399,63.53,55.359282367950485
2022-10-24,,66.399,62.0509,93.12,60.2681876576231
2022-11-22,,62.0509,59.1704,44.49,55.621094352878494
2022-12-21,,59.1704,55.0119,45.02,52.38824469632297
2023-01-19,,55.0119,55.8974,53.96,47.641379994830245
2023-02-17,,55.8974,55.8554,58.31,48.661188569144215
2023-03-20,,55.8554,51.4042,43.49,48.50461971850756
2023-04-18,,51.4042,51.9694,55.78,43.30432082964738
2023-05-17,,51.9694,48.217,44.56,43.97375309473859
2023-06-15,,48.217,46.9325,42.64,41.88218954406257
2023-07-14,,46.9325,48.2067,74.17,40.39676061585611
2023-08-14,,48.2067,44.7247,26.96,42.92071768129987
2023-09-12,,44.7247,47.8677,31.34,38.96922980349814
2023-10-11,,47.8677,44.3251,45.46,42.5396142986493
2023-11-09,,44.3251,42.4408,38.63,38.50995418587053
2023-12-08,,42.4408,42.5764,29.21,37.540858995746575
2024-01-08,,42.5764,41.2857,17.84,37.69409007335933
2024-02-06,,41.2857,42.114,37.52,36.22987184615102
2024-03-06,,42.114,41.3408,27.87,37.706353277835774
2024-04-04,,41.3408,41.8463,23.58,36.84076310492166
2024-05-03,,41.8463,41.2778,82.46,37.40712372266754
2024-06-03,,41.2778,42.6128,28.21,37.11188229375229
2024-07-02,,42.6128,42.2257,30.15,38.59126531205377
2024-07-31,,42.2257,40.5992,37.72,38.1633957482209
