,return,iv,ive,rv,realiv
2022-04-29,,23.7202,22.6924,25.08,23.273444281745483
2022-05-30,,22.6924,23.3198,23.58,22.224993553553883
2022-06-28,,23.3198,22.0337,21.21,22.86522234170295
2022-07-27,,22.0337,21.3552,16.09,21.552012815176028
2022-08-25,,21.3552,23.7405,15.7,20.84263838876114
2022-09-23,,23.7405,25.0126,28.61,23.28051434600747
2022-10-24,,25.0126,21.6454,19.72,24.576435191554115
2022-11-22,,21.6454,21.334,15.79,20.65970322577077
2022-12-21,,21.334,21.3902,24.86,20.333213032300694
2023-01-19,,21.3902,18.0095,14.68,20.392171347282343
2023-02-17,,18.0095,20.0567,15.71,16.91560843326238
2023-03-20,,20.0567,18.0161,18.31,19.080538076989797
2023-04-18,,18.0161,17.6499,12.41,16.92263506749045
2023-05-17,,17.6499,16.334,11.02,16.755112528775353
2023-06-15,,16.334,16.2234,13.66,15.362759577690618
2023-07-14,,16.2234,16.9427,20.46,15.245115066864038
2023-08-14,,16.9427,16.2353,9.75,15.92947162666676
2023-09-12,,16.2353,18.8683,12.31,15.17491183186187
2023-10-11,,18.8683,16.0856,25.12,17.964012021393813
2023-11-09,,16.0856,15.3011,10.12,15.185269241422558
2023-12-08,,15.3011,15.6555,13.22,14.351638783933144
2024-01-08,,15.6555,16.0635,10.63,14.728902023725125
2024-02-06,,16.0635,15.9485,22.14,15.161856971508936
2024-03-06,,15.9485,17.3389,8.8,14.733356773615167
2024-04-04,,17.3389,16.5819,12.29,16.228203929536747
2024-05-03,,16.5819,17.1225,20.88,15.208951794328891
2024-06-03,,17.1225,16.1103,20.29,15.79660765234802
2024-07-02,,16.1103,17.5497,32.88,14.693351325079652
2024-07-31,,17.5497,17.5522,15.27,16.202316778957474
