,return,iv,ive,rv,realiv
2022-04-29,,21.2313,21.4491,15.83,20.95100017741586
2022-05-30,,21.4491,21.7387,28.49,21.17168390927088
2022-06-28,,21.7387,21.4532,22.9,21.46502705411944
2022-07-27,,21.4532,20.4199,16.04,21.175837621782037
2022-08-25,,20.4199,22.505,23.43,20.011275083110355
2022-09-23,,22.505,26.4434,39.92,22.134900935895637
2022-10-24,,26.4434,23.1624,27.26,26.12914499178864
2022-11-22,,23.1624,21.5953,16.1,22.527863065164063
2022-12-21,,21.5953,21.3339,21.35,20.913269056098883
2023-01-19,,21.3339,19.1389,15.73,20.643234478462503
2023-02-17,,19.1389,21.4648,22.99,18.355751943288634
2023-03-20,,21.4648,19.9323,24.62,20.7695396009046
2023-04-18,,19.9323,19.9079,15.59,19.18157239340781
2023-05-17,,19.9079,19.8376,18.18,19.37058799426299
2023-06-15,,19.8376,18.5393,18.07,19.29833077220632
2023-07-14,,18.5393,21.1071,18.98,17.961092431238292
2023-08-14,,21.1071,18.7548,13.74,20.6900790252111
2023-09-12,,18.7548,21.9491,24.6,18.28420692016693
2023-10-11,,21.9491,20.9295,18.23,21.54838022844131
2023-11-09,,20.9295,18.7191,18.44,20.612814674425053
2023-12-08,,18.7191,18.1604,19.08,18.364336725354192
2024-01-08,,18.1604,17.7153,19.6,17.79450158650679
2024-02-06,,17.7153,34.361,44.3,17.30367534150806
2024-03-06,,34.361,24.9692,24.74,34.15060244321195
2024-04-04,,24.9692,21.0276,15.05,24.67886291696427
2024-05-03,,21.0276,20.8178,18.07,20.29508256946557
2024-06-03,,20.8178,19.987,13.87,20.077629630547158
2024-07-02,,19.987,20.3111,20.85,19.214853206346
2024-07-31,,20.3111,18.6528,19.92,19.55175690191102
