,return,iv,ive,rv,realiv
2022-02-01,,54.4082,53.7113,41.44,54.12143505305625
2022-03-02,,53.7113,52.1658,81.2,53.12242906930624
2022-03-31,,52.1658,56.3631,46.29,51.55928056299342
2022-04-29,,56.3631,57.7785,75.3,55.80222006464861
2022-05-30,,57.7785,61.6536,62.13,57.028709254061205
2022-06-28,,61.6536,56.7097,56.42,60.95149719157229
2022-07-27,,56.7097,57.4487,90.58,55.94558687710985
2022-08-25,,57.4487,62.6221,45.5,56.12864467317098
2022-09-23,,62.6221,65.0114,65.65,61.41334569592415
2022-10-24,,65.0114,58.7515,53.82,63.847895432168194
2022-11-22,,58.7515,59.5977,52.88,57.27976329408809
2022-12-21,,59.5977,54.166,63.14,58.14738494607271
2023-01-19,,54.166,54.954,79.45,52.56603548658355
2023-02-17,,54.954,66.0652,93.97,53.02910590563135
2023-03-20,,66.0652,58.6007,69.22,64.47289824562462
2023-04-18,,58.6007,54.8121,50.84,56.79952462512927
2023-05-17,,54.8121,50.6585,50.32,52.40435941879249
2023-06-15,,50.6585,49.1314,44.47,48.04304530245751
2023-07-14,,49.1314,50.3428,33.71,46.43000156842539
2023-08-14,,50.3428,46.8192,45.12,47.71004183108609
2023-09-12,,46.8192,51.8599,45.41,43.66353126447406
2023-10-11,,51.8599,50.8717,40.02,49.02974303271132
2023-11-09,,50.8717,47.5029,37.6,47.98329224567343
2023-12-08,,47.5029,47.804,48.78,44.19225650333202
2024-01-08,,47.804,46.9246,39.89,44.51575499130944
2024-02-06,,46.9246,49.5367,32.12,43.57003685569122
2024-03-06,,49.5367,47.5472,23.18,46.57515781645937
2024-04-04,,47.5472,45.7784,41.97,44.45331153669089
2024-05-03,,45.7784,49.7021,69.38,42.55611102178036
2024-06-03,,49.7021,49.3072,31.15,47.24944704606751
2024-07-02,,49.3072,50.9852,31.71,46.83387100794828
2024-07-31,,50.9852,57.428,38.62,48.59734684927911
