,return,iv,ive,rv,realiv
2022-04-29,,62.7916,57.7421,57.02,60.72838362400266
2022-05-30,,57.7421,61.3815,59.59,55.49145573359951
2022-06-28,,61.3815,58.076,47.44,59.269217046237706
2022-07-27,,58.076,55.4412,55.47,55.83881555892849
2022-08-25,,55.4412,61.4768,71.07,53.44321860687242
2022-09-23,,61.4768,60.8216,55.4,59.6812189542234
2022-10-24,,60.8216,57.1493,65.87,59.00608429799383
2022-11-22,,57.1493,55.0515,47.35,55.18524919556796
2022-12-21,,55.0515,49.6398,42.86,53.00978108365412
2023-01-19,,49.6398,46.3103,42.3,47.36537746420832
2023-02-17,,46.3103,52.8385,58.29,44.25304291302034
2023-03-20,,52.8385,46.9728,35.69,51.0450291725024
2023-04-18,,46.9728,46.1387,39.21,44.9458770168257
2023-05-17,,46.1387,42.8146,37.45,44.50897433688109
2023-06-15,,42.8146,40.669,33.36,41.05312572741738
2023-07-14,,40.669,32.5075,113.83,38.81026565009751
2023-08-14,,32.5075,27.4465,111.15,30.241232273452137
2023-09-12,,27.4465,25.5904,20.43,24.72053671377066
2023-10-11,,25.5904,23.1739,18.79,22.64206583611317
2023-11-09,,23.1739,22.0446,12.43,21.60341371183312
2023-12-08,,22.0446,17.4192,83.92,20.387305657065607
2024-01-08,,17.4192,22.488,12.76,15.267821437081956
2024-02-06,,22.488,21.7352,11.24,21.523538152572765
2024-03-06,,21.7352,36.3809,55.71,20.73575341397692
2024-04-04,,36.3809,38.3388,27.7,35.79277071442298
2024-05-03,,38.3388,40.6711,28.17,37.92002580219946
2024-06-03,,40.6711,45.448,27.53,40.27658310494416
2024-07-02,,45.448,41.886,24.26,45.09529327323943
2024-07-31,,41.886,56.476,38.92,41.50303323131302
