,return,iv,ive,rv
2022-01-19,,46.7666,50.2314,56.52
2022-02-17,,50.2314,48.0932,51.87
2022-03-18,,48.0932,48.5692,57.8
2022-04-18,,48.5692,54.1326,66.74
2022-05-17,,54.1326,55.8001,65.25
2022-06-15,,55.8001,52.8714,51.81
2022-07-14,,52.8714,50.1477,93.72
2022-08-12,,50.1477,54.0548,48.22
2022-09-12,,54.0548,65.189,59.32
2022-10-11,,65.189,62.1847,47.03
2022-11-09,,62.1847,55.5014,109.77
2022-12-08,,55.5014,54.7389,40.77
2023-01-06,,54.7389,51.4527,43.62
2023-02-06,,51.4527,47.9897,49.03
2023-03-07,,47.9897,48.6901,24.74
2023-04-05,,48.6901,49.2092,27.41
2023-05-04,,49.2092,41.8421,34.48
2023-06-02,,41.8421,38.8572,40.82
2023-07-03,,38.8572,39.7619,41.1
2023-08-01,,39.7619,39.5786,65.47
2023-08-30,,39.5786,42.5235,29.86
2023-09-28,,42.5235,49.7594,53.88
2023-10-27,,49.7594,39.7336,42.49
2023-11-27,,39.7336,40.4468,37.39
2023-12-26,,40.4468,43.4048,38.8
2024-01-24,,43.4048,45.4116,68.29
2024-02-22,,45.4116,46.3934,29.61
2024-03-22,,46.3934,46.8723,28.61
2024-04-22,,46.8723,41.3147,51.6
2024-05-21,,41.3147,42.0316,34.55
2024-06-19,,42.0316,44.9966,35.69
2024-07-18,,44.9966,40.756,70.78
