,return,iv,ive,rv,realiv
2022-04-29,,45.8203,40.0395,50.02,44.9809368606845
2022-05-30,,40.0395,43.7767,65.22,39.38233654322602
2022-06-28,,43.7767,41.1869,46.31,43.17645578604056
2022-07-27,,41.1869,35.8939,29.93,40.54833662388527
2022-08-25,,35.8939,39.5919,28.48,35.31055616101796
2022-09-23,,39.5919,41.5304,68.93,39.06381784721513
2022-10-24,,41.5304,40.787,51.17,41.02727682104191
2022-11-22,,40.787,38.6089,32.19,40.1401658802044
2022-12-21,,38.6089,34.4235,31.3,37.92493516277023
2023-01-19,,34.4235,33.0088,29.8,33.65458215667408
2023-02-17,,33.0088,35.3957,27.03,32.18829596096059
2023-03-20,,35.3957,31.6965,21.19,34.63179316640118
2023-04-18,,31.6965,29.6782,19.22,30.841102958234025
2023-05-17,,29.6782,28.9106,27.05,28.42144738744384
2023-06-15,,28.9106,27.5424,25.92,27.61894112230297
2023-07-14,,27.5424,28.128,32.25,26.183332754201448
2023-08-14,,28.128,29.074,19.9,26.139006616433942
2023-09-12,,29.074,28.9285,31.04,27.154387470425057
2023-10-11,,28.9285,32.3811,62.12,26.998544315277023
2023-11-09,,32.3811,33.2024,25.87,30.97591899482417
2023-12-08,,33.2024,33.2278,23.26,31.83349314988709
2024-01-08,,33.2278,40.2911,40.86,31.85998451355412
2024-02-06,,40.2911,33.4137,39.43,39.17071175730546
2024-03-06,,33.4137,37.1571,38.14,31.603182868642687
2024-04-04,,37.1571,32.9564,42.82,35.537809444996334
2024-05-03,,32.9564,32.5041,30.2,30.550385478875032
2024-06-03,,32.5041,34.5931,20.47,30.061907270794684
2024-07-02,,34.5931,37.7414,27.02,32.30919868331399
2024-07-31,,37.7414,33.4417,45.22,35.659711523060004
