,return,iv,ive,rv,realiv
2022-04-29,,39.9746,35.2572,35.05,39.350714411612856
2022-05-30,,35.2572,36.7441,35.09,34.54823051017686
2022-06-28,,36.7441,33.8506,28.62,36.06437250742505
2022-07-27,,33.8506,30.3998,23.51,33.14925210702555
2022-08-25,,30.3998,34.2959,26.42,29.616847147107645
2022-09-23,,34.2959,38.2698,45.17,33.60384727535135
2022-10-24,,38.2698,33.0556,44.04,37.650861702425054
2022-11-22,,33.0556,34.5947,35.12,31.72972852187145
2022-12-21,,34.5947,32.8274,32.95,33.33011024286694
2023-01-19,,32.8274,29.7368,25.22,31.491922320996267
2023-02-17,,29.7368,66.6519,119.57,28.440576521573963
2023-03-20,,66.6519,60.4514,61.67,66.08377177680997
2023-04-18,,60.4514,70.9839,113.08,59.82441709368762
2023-05-17,,70.9839,61.3195,66.93,70.25254686288999
2023-06-15,,61.3195,51.1504,43.72,60.47137638389383
2023-07-14,,51.1504,48.8423,58.27,50.13052664467583
2023-08-14,,48.8423,43.2679,42.53,47.43051272246003
2023-09-12,,43.2679,45.6111,33.21,41.66766658016071
2023-10-11,,45.6111,48.1502,60.54,44.09598293535867
2023-11-09,,48.1502,41.5653,47.23,46.72356321782178
2023-12-08,,41.5653,40.7101,56.56,39.90393168372997
2024-01-08,,40.7101,43.0254,41.27,39.01232935547157
2024-02-06,,43.0254,44.9649,35.98,41.21930179640403
2024-03-06,,44.9649,40.6625,28.75,43.23988930875098
2024-04-04,,40.6625,37.0338,32.61,38.7464153396548
2024-05-03,,37.0338,34.9772,24.5,35.436723433792885
2024-06-03,,34.9772,33.462,28.1,33.281579666883694
2024-07-02,,33.462,33.958,39.15,31.685398360808502
2024-07-31,,33.958,34.3841,34.72,32.13306756175737
