,return,iv,ive,rv,realiv
2022-03-02,,39.3162,43.0073,102.32,37.76217256020829
2022-03-31,,43.0073,44.1872,46.27,40.5346934113741
2022-04-29,,44.1872,43.6777,57.6,41.78447272018751
2022-05-30,,43.6777,42.7215,55.93,41.22138101017312
2022-06-28,,42.7215,39.4821,34.05,40.20680710210475
2022-07-27,,39.4821,38.7156,43.37,36.74638751640576
2022-08-25,,38.7156,40.9668,33.43,35.794370095912065
2022-09-23,,40.9668,53.3057,94.46,38.21803173167247
2022-10-24,,53.3057,46.2599,63.6,51.22340187544287
2022-11-22,,46.2599,41.1692,32.81,44.44668503116728
2022-12-21,,41.1692,34.0715,22.15,39.12074246342711
2023-01-19,,34.0715,34.8211,24.93,31.5657500227666
2023-02-17,,34.8211,36.6817,36.37,32.37342223892602
2023-03-20,,36.6817,32.5218,16.35,35.276467111016665
2023-04-18,,32.5218,31.9926,22.45,30.92813431464369
2023-05-17,,31.9926,30.6028,32.75,30.371178306161266
2023-06-15,,30.6028,34.9725,31.41,29.26656717030289
2023-07-14,,34.9725,34.3529,27.79,33.80941203783129
2023-08-14,,34.3529,31.0301,26.83,33.16809196357021
2023-09-12,,31.0301,32.0569,20.49,29.8759620368258
2023-10-11,,32.0569,31.4591,18.64,30.941086587672647
2023-11-09,,31.4591,30.0101,27.92,30.32129572471889
2023-12-08,,30.0101,34.3328,29.6,28.462431542444783
2024-01-08,,34.3328,41.3974,42.49,32.98855957962329
2024-02-06,,41.3974,39.6584,40.33,40.28955986429184
2024-03-06,,39.6584,36.2508,35.74,38.50055321496505
2024-04-04,,36.2508,34.2857,30.71,34.992961054052664
2024-05-03,,34.2857,35.6456,48.94,32.95293685212968
2024-06-03,,35.6456,32.9319,26.77,34.193647135023795
2024-07-02,,32.9319,34.9209,35.98,31.354533047783068
2024-07-31,,34.9209,33.8005,36.9,33.43749335468377
